,Unnamed: 0,annual_income,income_category,education_category,living_place,family_size,age,working_years,emp_stability,has_children,owns_realty_and_car,has_contact_information,credit_window,bad_client
15539,15539,121500,3.0,3.0,3,2.0,48,8,True,False,False,False,27,False
8597,8597,99000,1.0,2.0,3,1.0,23,0,False,False,False,True,13,False
33423,33423,225000,0.0,3.0,3,2.0,49,1,False,False,False,True,15,False
13588,13588,166500,0.0,1.0,3,3.0,35,0,False,True,False,False,37,False
30648,30648,157500,0.0,1.0,3,2.0,31,8,True,False,False,False,8,False
29818,29818,135000,3.0,1.0,3,1.0,50,7,True,False,False,False,47,False
28929,28929,225000,3.0,3.0,3,3.0,33,7,True,True,False,False,24,False
14717,14717,112500,0.0,2.0,3,2.0,25,4,False,False,False,False,5,False
26581,26581,112500,0.0,3.0,3,2.0,36,0,False,False,False,True,5,False
7245,7245,135000,0.0,3.0,3,3.0,27,1,False,True,False,False,7,False
26831,26831,121500,0.0,2.0,3,4.0,31,0,False,True,True,True,7,False
16319,16319,675000,3.0,1.0,3,3.0,43,4,False,True,False,True,51,False
23925,23925,405000,0.0,1.0,3,2.0,51,8,True,False,False,True,56,False
12832,12832,99000,2.0,3.0,3,2.0,65,-24,False,False,False,False,56,False
28412,28412,202500,2.0,3.0,3,2.0,64,-24,False,False,True,False,54,False
6804,6804,180000,0.0,3.0,3,1.0,37,3,False,False,False,False,13,False
23246,23246,135000,0.0,1.0,3,2.0,55,0,False,False,False,False,48,False
28106,28106,270000,0.0,3.0,5,2.0,40,7,True,False,False,True,53,False
1027,1027,135000,2.0,3.0,3,2.0,60,-24,False,False,True,False,24,False
22071,22071,135000,3.0,1.0,3,2.0,37,4,False,False,False,False,8,False
30577,30577,360000,3.0,3.0,3,2.0,31,11,True,False,True,True,26,False
22015,22015,135000,0.0,3.0,5,2.0,33,2,False,False,False,False,42,False
27515,27515,112500,0.0,3.0,3,2.0,32,6,True,False,False,True,21,False
14668,14668,270000,0.0,3.0,3,4.0,29,5,True,True,False,True,51,False
2224,2224,270000,0.0,2.0,3,2.0,30,6,True,False,True,False,25,False
19155,19155,247500,0.0,1.0,3,2.0,45,14,True,False,False,False,39,False
13716,13716,135000,0.0,3.0,3,2.0,28,3,False,False,False,True,24,False
4949,4949,135000,0.0,3.0,3,3.0,41,22,True,True,True,False,49,False
18058,18058,360000,1.0,1.0,3,1.0,52,5,True,False,True,False,61,False
8766,8766,103500,2.0,3.0,3,2.0,66,-24,False,False,False,False,58,False
15978,15978,270000,0.0,3.0,5,4.0,36,6,True,True,False,False,43,False
27720,27720,157500,0.0,1.0,0,2.0,60,0,False,False,True,True,59,False
35801,35801,225000,0.0,3.0,3,4.0,40,14,True,True,True,True,48,False
14438,14438,247500,0.0,1.0,3,2.0,35,7,True,False,True,False,12,False
28857,28857,238500,3.0,3.0,0,2.0,24,0,False,True,False,False,10,False
7273,7273,135000,2.0,4.0,3,2.0,61,-24,False,False,False,False,49,False
9751,9751,315000,3.0,1.0,3,2.0,53,4,False,False,False,True,17,False
32482,32482,211500,0.0,3.0,3,2.0,47,4,False,False,False,True,38,False
15069,15069,135000,3.0,3.0,3,2.0,48,5,True,False,True,True,25,False
11724,11724,229500,0.0,1.0,3,2.0,45,3,False,False,False,False,38,False
31620,31620,225000,3.0,3.0,3,3.0,30,2,False,True,True,False,8,False
18211,18211,99000,2.0,3.0,3,2.0,54,-24,False,False,False,False,40,False
13929,13929,135000,0.0,1.0,3,3.0,27,6,True,True,True,False,12,False
10371,10371,72000,2.0,3.0,3,2.0,61,-24,False,False,True,True,18,False
25021,25021,180000,3.0,1.0,3,3.0,27,8,True,True,True,True,46,False
9530,9530,112500,3.0,1.0,3,2.0,40,7,True,True,False,True,37,False
1833,1833,166500,0.0,3.0,3,3.0,55,22,True,True,False,True,19,False
3222,3222,180000,3.0,3.0,3,1.0,34,2,False,False,False,False,9,False
35028,35028,135000,0.0,1.0,3,4.0,35,13,True,True,False,False,14,False
25487,25487,450000,3.0,1.0,3,4.0,33,5,True,True,False,True,36,False
14133,14133,225000,0.0,3.0,3,2.0,58,4,False,False,False,False,54,False
28765,28765,135000,2.0,1.0,3,1.0,61,-24,False,False,False,False,10,False
11215,11215,148500,0.0,3.0,3,3.0,41,2,False,True,False,False,56,False
3420,3420,81000,2.0,4.0,3,2.0,59,-24,False,False,False,False,10,False
1433,1433,90000,0.0,1.0,3,4.0,32,12,True,True,False,False,7,False
7070,7070,112500,0.0,1.0,3,2.0,53,15,True,False,False,False,37,False
9564,9564,112500,2.0,3.0,3,2.0,60,-24,False,False,False,True,32,False
