,Unnamed: 0,annual_income,income_category,education_category,living_place,family_size,age,working_years,emp_stability,has_children,owns_realty_and_car,has_contact_information,credit_window,bad_client
4690,4690,112500,3.0,3.0,3,2.0,35,0,False,False,False,True,27,False
25725,25725,112500,0.0,3.0,3,2.0,27,6,True,False,False,True,40,False
2074,2074,121500,0.0,3.0,5,2.0,36,14,True,False,False,True,24,False
33878,33878,47250,0.0,3.0,5,4.0,31,0,False,True,False,True,1,False
33447,33447,301500,0.0,3.0,4,2.0,24,2,False,False,True,False,1,False
34786,34786,157500,0.0,3.0,3,3.0,28,4,False,True,False,True,38,False
4369,4369,585000,3.0,3.0,5,2.0,45,4,False,False,True,False,9,False
23267,23267,202500,0.0,1.0,4,3.0,37,8,True,True,False,False,16,False
20421,20421,193500,0.0,3.0,3,2.0,47,2,False,False,False,False,10,False
20937,20937,144000,2.0,3.0,3,2.0,60,-24,False,False,False,True,3,False
16688,16688,180000,0.0,1.0,5,2.0,30,4,False,False,True,False,7,False
25830,25830,378000,3.0,1.0,3,4.0,29,3,False,True,False,True,10,False
20285,20285,292500,1.0,3.0,5,4.0,42,16,True,True,False,True,53,False
22529,22529,135000,0.0,3.0,3,2.0,36,2,False,False,False,True,9,False
9467,9467,81000,0.0,3.0,3,2.0,36,2,False,False,True,True,14,False
17919,17919,180000,0.0,2.0,3,3.0,23,2,False,True,False,False,19,False
33067,33067,180000,0.0,3.0,3,2.0,28,4,False,False,False,False,11,False
10892,10892,202500,0.0,3.0,3,4.0,37,10,True,True,False,False,1,False
18917,18917,135000,0.0,2.0,3,2.0,29,5,True,False,False,True,2,False
35536,35536,112500,2.0,3.0,3,2.0,51,-24,False,False,False,True,15,False
12267,12267,540000,3.0,1.0,3,2.0,47,4,False,False,False,False,36,False
8793,8793,112500,0.0,1.0,3,5.0,38,14,True,True,False,False,12,False
20084,20084,117000,0.0,1.0,3,3.0,52,1,False,True,False,True,21,False
17229,17229,247500,3.0,3.0,3,2.0,49,1,False,False,True,True,8,False
33571,33571,360000,0.0,1.0,3,3.0,30,1,False,True,False,True,61,False
8505,8505,135000,3.0,3.0,3,2.0,42,4,False,False,False,False,13,False
18771,18771,157500,3.0,2.0,3,2.0,31,3,False,False,True,False,14,False
2990,2990,112500,0.0,1.0,3,2.0,30,6,True,False,False,True,24,False
26630,26630,202500,0.0,1.0,3,3.0,39,12,True,True,True,False,2,False
21677,21677,405000,0.0,1.0,3,2.0,28,7,True,False,True,True,29,False
8676,8676,103500,0.0,2.0,3,2.0,32,12,True,False,False,False,16,False
4490,4490,135000,3.0,1.0,3,2.0,38,3,False,False,True,False,3,False
20993,20993,180000,2.0,3.0,3,2.0,65,-24,False,False,False,False,43,False
28653,28653,225000,0.0,3.0,2,3.0,33,1,False,True,False,True,7,False
15902,15902,157500,2.0,3.0,3,2.0,61,-24,False,False,False,True,36,False
34234,34234,270000,0.0,1.0,3,1.0,45,1,False,False,False,False,8,False
10699,10699,315000,3.0,1.0,5,4.0,34,3,False,True,True,False,13,False
19415,19415,405000,0.0,1.0,3,2.0,47,20,True,False,False,False,20,False
13599,13599,202500,0.0,1.0,3,4.0,32,1,False,True,False,False,39,False
10137,10137,141750,2.0,1.0,3,2.0,55,-24,False,False,False,True,11,False
26733,26733,360000,0.0,3.0,3,2.0,40,20,True,True,True,True,40,False
6245,6245,117000,2.0,3.0,3,2.0,56,-24,False,False,False,False,58,False
10681,10681,270000,0.0,3.0,3,2.0,45,2,False,True,False,False,58,False
23334,23334,90000,0.0,3.0,3,2.0,34,5,True,False,False,True,21,False
22230,22230,360000,3.0,3.0,3,3.0,46,7,True,True,False,False,35,False
27647,27647,157500,1.0,1.0,3,2.0,32,10,True,False,False,False,60,False
14702,14702,180000,2.0,1.0,3,2.0,59,-24,False,False,False,False,17,False
2822,2822,135000,0.0,3.0,3,1.0,26,0,False,False,False,False,14,False
28847,28847,180000,2.0,3.0,3,2.0,67,-24,False,False,True,False,51,False
12561,12561,225000,3.0,1.0,3,1.0,32,2,False,False,True,True,46,False
8311,8311,90000,2.0,3.0,3,1.0,67,-24,False,False,False,True,59,False
16076,16076,144000,0.0,3.0,3,4.0,30,0,False,True,False,False,29,False
30032,30032,270000,1.0,1.0,3,3.0,28,7,True,True,False,False,4,False
11068,11068,202500,3.0,3.0,3,2.0,44,7,True,False,False,False,47,False
25795,25795,202500,0.0,3.0,3,2.0,27,6,True,False,False,False,8,False
26640,26640,135000,0.0,3.0,3,2.0,31,3,False,True,False,False,14,False
31991,31991,135000,0.0,3.0,3,2.0,30,4,False,False,False,False,36,False
16054,16054,180000,2.0,3.0,2,1.0,57,-24,False,False,True,False,1,False
14059,14059,225000,3.0,1.0,3,1.0,27,6,True,False,False,False,15,False
5216,5216,315000,0.0,1.0,3,3.0,28,7,True,True,True,False,12,False
8179,8179,112500,0.0,3.0,3,2.0,51,0,False,False,False,True,46,False
1679,1679,360000,0.0,3.0,3,3.0,28,3,False,True,False,False,7,False
28431,28431,157500,2.0,3.0,2,1.0,58,-24,False,False,False,False,36,False
12129,12129,135000,0.0,1.0,3,3.0,35,1,False,True,False,False,7,False
30405,30405,90000,0.0,1.0,5,1.0,23,0,False,False,False,True,10,False
2810,2810,256500,3.0,1.0,3,2.0,58,4,False,False,True,True,41,False
6739,6739,238500,0.0,1.0,5,3.0,31,5,True,True,False,True,38,False
34515,34515,180000,2.0,3.0,3,1.0,61,-24,False,False,True,False,6,False
32175,32175,29250,2.0,3.0,3,2.0,55,-24,False,False,True,False,7,False
29264,29264,270000,3.0,3.0,3,1.0,41,6,True,False,True,True,38,False
23434,23434,216000,0.0,3.0,3,4.0,40,2,False,True,False,True,1,False
2713,2713,112500,3.0,3.0,3,2.0,52,6,True,False,False,True,50,False
17889,17889,135000,0.0,3.0,3,2.0,51,8,True,False,True,True,8,False
25895,25895,540000,0.0,1.0,3,3.0,38,1,False,True,True,True,7,False
3190,3190,135000,3.0,3.0,4,1.0,21,1,False,False,False,True,1,False
16197,16197,202500,1.0,3.0,3,3.0,43,24,True,True,False,False,53,False
27191,27191,225000,3.0,3.0,3,3.0,30,3,False,True,True,True,15,False
3195,3195,261000,3.0,3.0,3,1.0,23,2,False,False,False,True,9,False
28546,28546,675000,3.0,1.0,1,2.0,59,11,True,True,False,False,32,False
32534,32534,135000,0.0,3.0,3,3.0,35,2,False,True,False,True,25,False
26124,26124,121500,0.0,3.0,3,1.0,39,0,False,False,False,True,22,False
21646,21646,135000,0.0,3.0,3,2.0,47,4,False,False,False,False,45,False
27503,27503,225000,0.0,3.0,3,4.0,38,7,True,True,False,True,2,False
14802,14802,135000,0.0,3.0,3,2.0,46,22,True,True,False,False,60,False
2083,2083,202500,2.0,1.0,3,2.0,57,-24,False,False,False,True,10,False
25106,25106,166500,2.0,3.0,3,1.0,58,-24,False,False,False,False,15,False
16625,16625,382500,0.0,3.0,3,2.0,47,4,False,False,False,False,2,False
34662,34662,211500,0.0,3.0,3,1.0,27,3,False,False,False,True,26,False
22870,22870,67500,0.0,3.0,3,2.0,41,5,True,False,False,True,48,False
5634,5634,202500,3.0,1.0,2,2.0,38,12,True,False,False,False,59,False
11299,11299,135000,3.0,3.0,3,1.0,23,1,False,False,True,True,3,False
16651,16651,270000,0.0,3.0,3,1.0,37,4,False,False,True,False,3,False
28199,28199,157500,3.0,3.0,3,3.0,40,0,False,True,False,False,26,False
11239,11239,162000,0.0,3.0,3,2.0,40,12,True,True,False,False,56,False
33225,33225,81000,3.0,3.0,3,1.0,27,7,True,False,False,False,43,False
8616,8616,157500,0.0,3.0,3,2.0,54,0,False,False,False,False,61,False
4746,4746,225000,2.0,1.0,3,2.0,65,-24,False,False,False,False,32,False
13190,13190,157500,3.0,1.0,3,4.0,33,3,False,True,False,False,41,False
4985,4985,130500,3.0,3.0,3,2.0,40,4,False,False,False,False,50,False
29638,29638,216000,0.0,1.0,3,2.0,33,2,False,False,False,True,11,False
4668,4668,135000,0.0,3.0,5,2.0,42,21,True,False,False,True,15,False
4293,4293,112500,2.0,3.0,3,2.0,62,-24,False,False,False,True,31,False
30447,30447,117000,2.0,3.0,3,2.0,62,-24,False,False,False,False,16,False
10402,10402,247500,0.0,3.0,3,1.0,52,15,True,False,True,False,7,False
12414,12414,121500,2.0,3.0,3,1.0,63,-24,False,False,False,False,16,False
17300,17300,90000,2.0,3.0,3,2.0,59,-24,False,False,False,False,5,False
36109,36109,315000,3.0,1.0,3,2.0,37,1,False,False,False,True,16,True
25002,25002,117000,2.0,3.0,3,2.0,59,-24,False,False,False,True,7,False
5338,5338,112500,0.0,1.0,3,3.0,37,14,True,True,False,True,6,False
36024,36024,81000,0.0,3.0,3,2.0,42,15,True,False,False,False,40,False
28840,28840,202500,0.0,1.0,2,3.0,33,2,False,True,False,False,20,False
3937,3937,135000,2.0,3.0,3,1.0,62,-24,False,False,True,False,54,False
450,450,180000,3.0,1.0,3,2.0,40,1,False,False,False,True,17,False
15833,15833,247500,1.0,3.0,2,2.0,55,2,False,False,True,True,7,False
34764,34764,180000,0.0,1.0,3,2.0,45,1,False,False,True,False,13,False
32314,32314,180000,3.0,3.0,3,2.0,56,5,True,False,False,True,17,False
34080,34080,216000,0.0,3.0,2,3.0,35,6,True,True,False,True,11,False
22959,22959,135000,3.0,3.0,3,2.0,33,4,False,False,True,True,33,False
18929,18929,112500,2.0,3.0,3,1.0,64,-24,False,False,False,False,53,False
29127,29127,135000,1.0,3.0,3,2.0,44,14,True,True,False,False,59,False
18663,18663,202500,1.0,1.0,3,1.0,43,13,True,False,False,False,16,False
1074,1074,135000,1.0,3.0,3,2.0,50,5,True,False,False,False,17,False
19000,19000,103500,2.0,1.0,3,2.0,64,-24,False,False,False,False,40,False
13388,13388,184500,0.0,3.0,2,2.0,49,3,False,False,False,False,29,False
13738,13738,427500,3.0,1.0,3,4.0,39,13,True,True,False,True,58,False
1248,1248,270000,2.0,3.0,3,2.0,65,-24,False,False,True,False,5,False
33122,33122,67500,0.0,3.0,3,4.0,42,13,True,True,False,True,54,False
5978,5978,171000,0.0,3.0,3,2.0,52,4,False,False,False,False,58,False
15923,15923,216000,0.0,1.0,3,2.0,28,4,False,True,False,True,3,False
31127,31127,202500,0.0,4.0,4,2.0,40,2,False,False,False,True,16,False
16695,16695,391500,0.0,3.0,3,1.0,48,4,False,False,False,False,56,False
15864,15864,270000,0.0,3.0,3,1.0,26,3,False,False,True,False,17,False
31156,31156,157500,3.0,1.0,3,2.0,27,0,False,False,False,True,38,False
21898,21898,202500,1.0,3.0,3,1.0,46,4,False,False,False,False,5,False
22894,22894,247500,3.0,1.0,3,2.0,32,8,True,False,False,False,38,False
16899,16899,405000,0.0,3.0,5,3.0,34,3,False,True,False,False,40,False
34950,34950,180000,3.0,3.0,5,3.0,42,6,True,True,False,False,22,False
24508,24508,81000,3.0,3.0,3,2.0,49,1,False,False,False,False,26,False
1472,1472,67500,0.0,1.0,3,4.0,32,4,False,True,True,False,5,False
9736,9736,315000,3.0,1.0,3,2.0,53,4,False,False,False,True,50,False
10581,10581,247500,3.0,1.0,3,1.0,37,10,True,False,False,True,34,False
16594,16594,144000,3.0,3.0,3,2.0,45,1,False,False,True,False,11,False
21587,21587,225000,3.0,3.0,3,2.0,29,3,False,True,True,False,31,False
32401,32401,315000,3.0,1.0,5,3.0,32,1,False,True,False,True,54,False
10576,10576,247500,3.0,1.0,3,1.0,37,10,True,False,False,True,14,False
8279,8279,202500,0.0,3.0,3,2.0,29,3,False,False,True,True,35,False
4305,4305,202500,3.0,3.0,3,2.0,43,4,False,False,False,False,21,False
28718,28718,157500,0.0,3.0,3,2.0,30,10,True,False,False,True,10,False
11497,11497,121500,3.0,1.0,3,2.0,30,0,False,False,False,False,57,False
1481,1481,270000,0.0,3.0,3,4.0,36,11,True,True,True,False,42,False
17244,17244,135000,0.0,3.0,3,2.0,40,2,False,False,True,False,25,False
3709,3709,180000,3.0,3.0,3,2.0,56,1,False,False,False,False,6,False
27325,27325,247500,0.0,2.0,3,1.0,23,0,False,False,False,True,25,False
21249,21249,189000,3.0,3.0,3,3.0,51,13,True,True,True,False,35,False
6890,6890,180000,0.0,3.0,4,3.0,43,6,True,True,False,False,12,False
26830,26830,121500,0.0,2.0,3,4.0,31,0,False,True,True,True,35,False
29001,29001,112500,3.0,3.0,3,3.0,47,6,True,True,False,True,56,False
30471,30471,337500,3.0,3.0,4,2.0,49,4,False,False,False,True,17,False
35580,35580,135000,3.0,3.0,3,2.0,46,2,False,False,False,False,14,False
8511,8511,225000,1.0,3.0,3,2.0,43,10,True,True,False,False,17,False
13656,13656,67500,0.0,3.0,3,3.0,30,0,False,True,False,True,40,False
32288,32288,270000,0.0,1.0,3,2.0,28,1,False,False,False,True,26,False
23221,23221,225000,0.0,1.0,3,2.0,33,10,True,False,True,False,22,False
26936,26936,450000,3.0,1.0,3,1.0,29,1,False,False,True,True,9,False
19547,19547,90000,0.0,3.0,3,1.0,39,4,False,False,False,False,22,False
8938,8938,90000,0.0,3.0,3,2.0,50,3,False,False,False,False,34,False
19376,19376,247500,3.0,3.0,3,1.0,55,9,True,False,False,True,7,False
1457,1457,180000,0.0,3.0,3,1.0,53,5,True,False,False,False,7,False
5717,5717,180000,0.0,1.0,3,3.0,25,2,False,True,False,True,10,False
25290,25290,315000,3.0,2.0,3,2.0,48,6,True,False,False,False,25,False
5049,5049,184500,0.0,3.0,3,3.0,31,13,True,True,False,False,6,False
15910,15910,157500,0.0,3.0,3,2.0,58,13,True,False,False,True,53,False
19498,19498,126000,0.0,3.0,3,2.0,40,7,True,False,True,False,23,False
15070,15070,135000,3.0,3.0,3,2.0,48,5,True,False,True,True,25,False
11124,11124,112500,2.0,3.0,3,2.0,58,-24,False,False,True,False,32,False
20969,20969,135000,0.0,3.0,3,1.0,25,2,False,False,False,False,5,False
18254,18254,157500,3.0,3.0,3,3.0,42,12,True,True,True,False,57,False
7053,7053,225000,3.0,3.0,3,2.0,43,6,True,False,False,False,23,False
16883,16883,122400,0.0,3.0,3,2.0,57,3,False,False,False,True,40,False
30433,30433,112500,0.0,3.0,3,2.0,51,12,True,False,True,False,39,False
3836,3836,202500,3.0,3.0,3,2.0,48,0,False,False,True,False,16,False
34565,34565,202500,0.0,3.0,3,3.0,28,6,True,True,True,False,37,False
6509,6509,67500,0.0,1.0,3,2.0,33,4,False,False,False,True,34,False
24584,24584,112500,2.0,3.0,3,2.0,56,-24,False,False,False,False,11,False
10901,10901,135000,0.0,3.0,3,2.0,55,8,True,False,False,True,43,False
290,290,180000,0.0,3.0,3,2.0,53,7,True,False,False,False,54,False
5058,5058,202500,0.0,3.0,3,3.0,28,1,False,True,True,True,8,False
12649,12649,157500,2.0,3.0,3,2.0,62,-24,False,False,True,False,40,False
15826,15826,225000,0.0,3.0,3,2.0,39,4,False,False,False,True,41,False
27549,27549,144000,2.0,3.0,3,2.0,54,-24,False,False,False,False,11,False
32555,32555,135000,0.0,3.0,3,1.0,50,3,False,False,False,False,36,False
14323,14323,135000,0.0,3.0,3,2.0,53,11,True,False,False,False,18,False
32906,32906,337500,0.0,1.0,3,2.0,64,20,True,False,True,False,43,False
17451,17451,144000,0.0,3.0,3,2.0,51,14,True,False,False,False,60,False
32378,32378,112500,0.0,3.0,3,3.0,39,0,False,True,False,True,7,False
20985,20985,180000,2.0,3.0,3,2.0,65,-24,False,False,False,False,47,False
16901,16901,405000,0.0,3.0,5,3.0,34,3,False,True,False,False,46,False
22136,22136,135000,0.0,3.0,3,2.0,42,8,True,False,False,True,8,False
8539,8539,270000,3.0,1.0,3,1.0,38,8,True,False,False,True,16,False
2495,2495,445500,3.0,1.0,3,2.0,34,1,False,False,True,False,51,False
9688,9688,202500,3.0,2.0,3,1.0,58,0,False,False,False,False,23,False
21147,21147,135000,0.0,3.0,3,2.0,28,3,False,False,False,True,31,False
27329,27329,360000,3.0,3.0,3,3.0,45,10,True,True,False,True,33,False
13122,13122,112500,3.0,3.0,1,3.0,39,7,True,True,False,False,36,False
2842,2842,270000,0.0,2.0,3,2.0,30,9,True,False,False,False,42,False
6463,6463,225000,0.0,1.0,3,2.0,47,8,True,False,True,True,24,False
6685,6685,135000,3.0,1.0,3,3.0,26,7,True,True,False,True,9,False
29010,29010,112500,0.0,1.0,3,2.0,38,8,True,False,False,True,28,False
20351,20351,112500,2.0,3.0,3,2.0,63,-24,False,False,False,True,55,False
27353,27353,202500,0.0,3.0,3,4.0,36,7,True,True,False,False,30,False
7882,7882,81000,1.0,3.0,3,3.0,42,20,True,True,False,False,11,False
2590,2590,58500,0.0,3.0,3,2.0,40,13,True,False,False,True,40,False
1783,1783,292500,0.0,3.0,3,2.0,45,2,False,False,False,True,16,False
18512,18512,180000,0.0,1.0,3,1.0,37,1,False,False,False,False,49,False
30703,30703,171000,0.0,3.0,3,4.0,36,3,False,True,True,False,55,False
6913,6913,202500,0.0,3.0,3,1.0,43,6,True,False,False,False,8,False
33043,33043,157500,0.0,3.0,4,1.0,27,2,False,False,False,True,8,False
34436,34436,157500,0.0,1.0,3,3.0,43,0,False,True,False,True,22,False
24494,24494,112500,0.0,1.0,3,4.0,40,5,True,True,False,True,60,False
36216,36216,450000,3.0,1.0,3,1.0,27,0,False,False,False,False,9,True
15813,15813,144000,0.0,3.0,3,3.0,37,2,False,True,True,False,10,False
28711,28711,180000,0.0,3.0,3,3.0,29,10,True,True,False,True,38,False
29830,29830,157500,0.0,3.0,3,2.0,31,1,False,True,False,True,32,False
3456,3456,328500,3.0,3.0,3,2.0,34,5,True,False,False,False,11,False
33074,33074,225000,0.0,1.0,3,3.0,49,6,True,True,False,False,34,False
4488,4488,135000,3.0,1.0,3,2.0,38,3,False,False,True,False,44,False
31105,31105,225000,3.0,3.0,3,2.0,34,4,False,True,False,True,28,False
36300,36300,157500,2.0,3.0,3,3.0,30,1,False,True,True,True,20,False
1807,1807,202500,3.0,3.0,2,2.0,51,2,False,False,False,False,5,False
