,annual_income,living_place,age,working_years,employed,emp_stability,has_children,owns_realty_and_car,has_contact_information,credit_window,bad_client
29319,112500,3,44,9,True,True,False,False,False,60,False
19436,112500,3,38,7,True,True,True,True,False,60,False
12572,180000,2,45,0,True,False,True,False,True,60,False
15983,270000,5,36,6,True,True,True,False,False,60,False
21005,225000,1,40,10,True,True,False,False,False,60,False
28016,225000,3,43,6,True,True,False,True,True,60,False
35309,225000,5,25,2,True,False,False,False,True,60,False
32667,157500,3,47,8,True,True,False,False,False,60,False
31060,76500,3,53,8,True,True,False,False,False,60,False
23268,180000,3,32,11,True,True,True,False,True,60,False
22489,180000,3,39,1,True,False,True,True,False,60,False
21238,135000,3,60,25,True,True,False,False,False,60,False
30686,148500,3,33,3,True,False,False,False,True,60,False
28236,112500,4,43,24,True,True,False,False,False,60,False
12638,270000,3,38,3,True,False,True,False,False,60,False
21465,270000,3,56,3,True,False,False,True,True,60,False
21831,67500,3,30,5,True,False,True,False,True,60,False
17043,315000,3,25,3,True,False,False,True,True,60,False
26087,112500,5,28,4,True,False,False,False,True,60,False
24662,99000,3,33,1,True,False,False,False,True,60,False
19009,202500,3,46,0,True,False,False,False,False,60,False
28104,270000,5,40,7,True,True,False,False,True,60,False
11618,144000,3,33,7,True,True,False,True,True,60,False
27621,337500,3,37,6,True,True,False,False,True,60,False
11776,213750,3,34,10,True,True,True,False,True,60,False
32597,157500,1,37,3,True,False,True,False,True,60,False
23653,270000,3,27,1,True,False,True,False,True,60,False
10167,202500,3,32,1,True,False,False,False,True,60,False
23908,207000,3,40,10,True,True,False,False,True,60,False
32441,337500,3,35,13,True,True,False,False,True,60,False
11482,180000,3,35,13,True,True,True,True,False,60,False
17400,135000,3,53,0,True,False,False,False,True,60,False
28323,135000,3,48,29,True,True,False,False,False,60,False
32063,126000,3,65,5,True,False,False,False,True,60,False
10334,166500,2,35,0,True,False,False,False,False,60,False
14474,157500,3,47,6,True,True,False,False,False,60,False
17310,110250,3,48,6,True,True,False,False,True,60,False
17143,180000,3,35,12,True,True,True,False,True,60,False
21947,270000,2,30,4,True,False,True,False,False,60,False
19656,360000,2,49,8,True,True,False,False,False,60,False
22413,202500,3,50,19,True,True,False,True,False,60,False
20131,31500,3,48,21,True,True,False,False,True,60,False
548,270000,3,32,3,True,False,False,False,True,60,False
