,annual_income,education_category,living_place,family_size,age,working_years,emp_stability,has_children,owns_realty_and_car,has_contact_information,credit_window,bad_client
820,166500,1.0,5,2.0,28,4,False,False,False,True,45,False
1948,110250,1.0,3,1.0,38,15,True,False,True,False,44,False
25648,360000,3.0,3,2.0,49,28,True,False,False,True,15,False
33608,157500,3.0,5,3.0,38,4,False,True,False,False,10,False
35074,135000,3.0,3,2.0,59,10,True,False,False,False,44,False
5381,270000,3.0,3,3.0,45,7,True,True,False,True,7,False
25814,202500,3.0,3,2.0,46,12,True,False,False,True,11,False
12335,112500,3.0,3,2.0,24,1,False,False,False,False,37,False
31658,157500,3.0,3,2.0,30,4,False,False,False,False,24,False
35685,112500,3.0,3,4.0,33,3,False,True,False,True,31,False
13941,189000,3.0,3,2.0,43,5,True,False,False,True,60,False
29342,148500,3.0,3,3.0,31,10,True,True,False,True,12,False
29922,135000,2.0,3,2.0,29,4,False,False,False,True,41,False
11750,126000,1.0,3,3.0,25,0,False,True,True,False,9,False
5961,135000,1.0,3,3.0,33,1,False,True,True,False,54,False
12352,234000,1.0,3,1.0,29,5,True,False,False,False,47,False
11057,85500,3.0,3,3.0,27,2,False,True,False,True,21,False
26933,180000,1.0,3,1.0,28,0,False,False,False,True,13,False
32046,135000,3.0,3,2.0,58,0,False,False,False,True,36,False
16616,360000,1.0,3,2.0,45,11,True,True,False,True,48,False
556,270000,3.0,3,2.0,32,3,False,False,False,True,47,False
35742,130500,3.0,3,2.0,44,25,True,False,True,True,30,False
20951,157500,1.0,3,1.0,54,2,False,False,False,False,53,False
30490,207000,1.0,3,3.0,29,6,True,True,True,True,9,False
19150,135000,3.0,4,1.0,37,3,False,False,False,False,7,False
15358,135000,3.0,3,2.0,34,15,True,False,False,True,11,False
23517,112500,2.0,2,5.0,42,6,True,True,False,True,4,False
31723,112500,1.0,3,2.0,55,1,False,False,False,False,56,True
2837,234000,3.0,3,2.0,56,22,True,True,False,False,17,False
17523,360000,1.0,3,2.0,60,10,True,False,True,False,44,False
2907,144000,3.0,3,3.0,23,2,False,True,True,True,27,False
13692,171000,3.0,5,4.0,30,6,True,True,False,True,22,False
1961,90000,1.0,3,1.0,41,3,False,False,False,True,7,False
32688,157500,3.0,3,3.0,30,5,True,True,False,True,20,False
3591,67500,3.0,3,3.0,32,9,True,True,True,True,58,False
7766,171000,3.0,3,6.0,33,5,True,True,False,True,9,False
9382,292500,1.0,4,1.0,27,3,False,False,False,True,28,False
325,292500,3.0,3,2.0,57,23,True,False,False,True,7,False
3994,112500,3.0,3,2.0,49,7,True,False,False,True,47,False
23236,225000,1.0,3,2.0,33,10,True,False,True,False,18,False
143,135000,3.0,3,2.0,48,4,False,False,True,False,29,False
34672,261000,2.0,5,2.0,24,1,False,False,False,False,7,False
14092,112500,3.0,3,3.0,51,2,False,True,False,True,7,False
14889,324000,1.0,3,3.0,30,8,True,True,True,True,57,False
35782,315000,3.0,3,2.0,47,6,True,False,True,False,40,False
220,315000,3.0,3,2.0,28,5,True,False,True,False,28,False
35761,135000,2.0,5,1.0,27,5,True,False,False,True,47,False
23999,189000,3.0,3,2.0,44,1,False,False,False,False,1,False
19123,202500,3.0,3,2.0,34,1,False,True,False,True,35,False
11262,135000,1.0,3,2.0,24,1,False,False,True,True,9,False
2361,292500,1.0,3,2.0,39,4,False,False,False,False,46,False
